id	norm	tau0	etas	CH_RAA_1020_8	CH_RAA_1020_9	CH_RAA_1020_10	CH_RAA_1020_12	CH_RAA_1020_14	CH_RAA_1020_16	CH_RAA_1020_18	CH_RAA_1020_21	CH_RAA_1020_24	CH_RAA_1020_28	CH_RAA_1020_33	CH_RAA_1020_42	CH_RAA_2030_8	CH_RAA_2030_9	CH_RAA_2030_10	CH_RAA_2030_12	CH_RAA_2030_14	CH_RAA_2030_16	CH_RAA_2030_18	CH_RAA_2030_21	CH_RAA_2030_24	CH_RAA_2030_28	CH_RAA_2030_33	CH_RAA_2030_42	CH_RAA_3040_8	CH_RAA_3040_9	CH_RAA_3040_10	CH_RAA_3040_12	CH_RAA_3040_14	CH_RAA_3040_16	CH_RAA_3040_18	CH_RAA_3040_21	CH_RAA_3040_24	CH_RAA_3040_28	CH_RAA_3040_33	CH_RAA_3040_42	CH_RAA_4050_8	CH_RAA_4050_9	CH_RAA_4050_10	CH_RAA_4050_12	CH_RAA_4050_14	CH_RAA_4050_16	CH_RAA_4050_18	CH_RAA_4050_21	CH_RAA_4050_24	CH_RAA_4050_28	CH_RAA_4050_33	CH_RAA_4050_42	D_RAA_3050_8	D_RAA_3050_9	D_RAA_3050_11	D_RAA_3050_14	D_RAA_3050_20	D_RAA_3050_30	D_RAA_3050_43	CH_v2_1020_8	CH_v2_1020_10	CH_v2_1020_14	CH_v2_1020_18	CH_v2_1020_22	CH_v2_1020_27	CH_v2_1020_32	CH_v2_1020_37	CH_v2_1020_45	CH_v2_2030_8	CH_v2_2030_10	CH_v2_2030_14	CH_v2_2030_18	CH_v2_2030_22	CH_v2_2030_27	CH_v2_2030_32	CH_v2_2030_37	CH_v2_2030_45	CH_v2_3040_8	CH_v2_3040_10	CH_v2_3040_14	CH_v2_3040_18	CH_v2_3040_22	CH_v2_3040_27	CH_v2_3040_32	CH_v2_3040_37	CH_v2_3040_45	CH_v2_4050_8	CH_v2_4050_10	CH_v2_4050_14	CH_v2_4050_18	CH_v2_4050_22	CH_v2_4050_27	CH_v2_4050_32	CH_v2_4050_37	CH_v2_4050_45	D_v2_3050_9	D_v2_3050_11	D_v2_3050_14	D_v2_3050_18	D_v2_3050_25	D_v2_3050_35
0	127.19821	0.99587	0.14484	0.13851611	0.15394671	0.17107353	0.19048855	0.21125845	0.23363933	0.25871786	0.28579717	0.31211549	0.34026932	0.38138536	0.43406103	0.18293457	0.20143927	0.22171523	0.24438232	0.26828064	0.29366017	0.32166539	0.35142129	0.37988995	0.40987663	0.45284618	0.50656351	0.24068401	0.26227960	0.28560165	0.31126992	0.33789505	0.36571844	0.39590510	0.42741727	0.45705542	0.48775664	0.53086468	0.58337438	0.31863585	0.34302175	0.36891490	0.39689932	0.42538267	0.45460279	0.48569707	0.51751154	0.54686338	0.57670402	0.61766844	0.66616723	0.27909785	0.29844936	0.32554043	0.37350264	0.45078503	0.54311712	0.62340874	0.05316811	0.04843026	0.04310174	0.03816225	0.03396140	0.03038596	0.02758105	0.02531494	0.02262109	0.07398542	0.06712524	0.05946098	0.05240006	0.04642373	0.04135709	0.03739556	0.03420392	0.03042086	0.08589579	0.07762685	0.06843488	0.06000989	0.05291048	0.04691597	0.04224628	0.03849624	0.03406669	0.08863587	0.07970911	0.06983935	0.06084596	0.05331249	0.04698873	0.04208970	0.03817459	0.03357392	0.08418353	0.07697083	0.06840845	0.05982216	0.04935708	0.03979984
1	196.49973	0.94955	0.12554	0.10077761	0.11299455	0.12672507	0.14250455	0.15963083	0.17835830	0.19967302	0.22307218	0.24618772	0.27131940	0.30876694	0.35802213	0.13727240	0.15256028	0.16953229	0.18877746	0.20937333	0.23157669	0.25646959	0.28336520	0.30952227	0.33752291	0.37845209	0.43095326	0.18673324	0.20542263	0.22587624	0.24871375	0.27276217	0.29827175	0.32638818	0.35622821	0.38474724	0.41475698	0.45770947	0.51132906	0.25371082	0.27583703	0.29965543	0.32578288	0.35279178	0.38092296	0.41133978	0.44298191	0.47264389	0.50327171	0.54611262	0.59804777	0.21975449	0.23688092	0.26117552	0.30511027	0.37833996	0.46981706	0.55301253	0.05617882	0.05115815	0.04549442	0.04023534	0.03576391	0.03196287	0.02898629	0.02658614	0.02373987	0.07646991	0.06953648	0.06173752	0.05451155	0.04837375	0.04315844	0.03907499	0.03578251	0.03187798	0.08959374	0.08123682	0.07188176	0.06325202	0.05594503	0.04975171	0.04491262	0.04101758	0.03640668	0.09546174	0.08619111	0.07587047	0.06640351	0.05842824	0.05170053	0.04646651	0.04226914	0.03731983	0.08868226	0.08134959	0.07259071	0.06374858	0.05289824	0.04291857
2	196.78500	0.90397	0.11039	0.10200746	0.11453634	0.12861602	0.14479344	0.16234509	0.18152692	0.20334267	0.22726940	0.25088058	0.27652024	0.31466155	0.36470858	0.13805599	0.15362762	0.17091236	0.19050825	0.21147243	0.23406157	0.25937078	0.28669416	0.31324268	0.34163327	0.38307444	0.43612506	0.18742852	0.20641254	0.22718223	0.25036485	0.27476542	0.30063293	0.32912318	0.35933368	0.38817895	0.41850039	0.46183854	0.51583309	0.25438413	0.27682735	0.30097402	0.32744744	0.35479617	0.38325927	0.41400785	0.44596285	0.47588581	0.50674813	0.54985341	0.60200335	0.22057106	0.23795813	0.26261207	0.30716521	0.38130752	0.47366836	0.55737489	0.05331996	0.04844701	0.04298372	0.03793967	0.03367053	0.03005419	0.02722965	0.02495651	0.02226560	0.07432436	0.06735463	0.05958069	0.05243595	0.04640641	0.04130970	0.03733513	0.03414023	0.03036238	0.08623249	0.07800978	0.06884344	0.06042552	0.05332619	0.04732963	0.04265755	0.03890557	0.03447423	0.09166937	0.08258496	0.07251646	0.06332212	0.05560562	0.04911666	0.04408134	0.04005159	0.03530955	0.08514829	0.07797933	0.06944388	0.06085936	0.05036748	0.04075842
3	319.64539	0.52603	0.15714	0.07992224	0.09128683	0.10420795	0.11923228	0.13572325	0.15394021	0.17487724	0.19807493	0.22117661	0.24647280	0.28445916	0.33485303	0.10950158	0.12388107	0.14002317	0.15853689	0.17856877	0.20037946	0.22506789	0.25198701	0.27837653	0.30682694	0.34873745	0.40296286	0.15063288	0.16853843	0.18834026	0.21069163	0.23447722	0.25994780	0.28828093	0.31861632	0.34783215	0.37878596	0.42342265	0.47961036	0.20885934	0.23066495	0.25435614	0.28060147	0.30799286	0.33676494	0.36813399	0.40102643	0.43207280	0.46432622	0.50974173	0.56520235	0.18004125	0.19669437	0.22054270	0.26430030	0.33868638	0.43356638	0.52125230	0.04158188	0.03683967	0.03176806	0.02730274	0.02367218	0.02069924	0.01844093	0.01666391	0.01460726	0.05650454	0.05017182	0.04336532	0.03734316	0.03242567	0.02838437	0.02530539	0.02287682	0.02005929	0.06577716	0.05843173	0.05052183	0.04350942	0.03777212	0.03304903	0.02944574	0.02660070	0.02329687	0.06953824	0.06179786	0.05343837	0.04600629	0.03991183	0.03488682	0.03104969	0.02801811	0.02449599	0.06478888	0.05851481	0.05123965	0.04413993	0.03574572	0.02832600
4	296.33902	0.37159	0.04497	0.10989136	0.12510053	0.14218007	0.16176638	0.18294436	0.20597262	0.23199072	0.26028966	0.28795179	0.31767815	0.36127497	0.41732278	0.14530047	0.16366359	0.18400688	0.20700265	0.23149917	0.25774308	0.28693820	0.31818404	0.34825191	0.38007189	0.42587433	0.48336038	0.19252156	0.21432501	0.23810570	0.26455049	0.29224775	0.32142774	0.35332902	0.38686147	0.41857415	0.45157306	0.49811210	0.55502843	0.25792359	0.28324166	0.31035120	0.33992589	0.37029391	0.40167351	0.43529872	0.46992254	0.50202829	0.53480643	0.57999135	0.63369542	0.22638036	0.24617137	0.27412442	0.32428891	0.40649681	0.50626835	0.59385135	0.03312357	0.02930171	0.02528572	0.02180237	0.01899382	0.01670295	0.01496372	0.01359323	0.01200190	0.04498608	0.03977988	0.03427170	0.02946647	0.02557836	0.02240112	0.01998778	0.01808677	0.01588191	0.05190130	0.04582986	0.03938429	0.03374673	0.02918001	0.02544879	0.02261775	0.02039100	0.01781373	0.05453080	0.04802496	0.04112172	0.03509094	0.03021436	0.02623930	0.02323117	0.02087101	0.01814706	0.05081656	0.04558075	0.03959569	0.03384829	0.02715843	0.02133441
5	183.95125	0.63765	0.06035	0.12015897	0.13539913	0.15242969	0.17186971	0.19280134	0.21548212	0.24102844	0.26874166	0.29577784	0.32478889	0.36728445	0.42187670	0.15902617	0.17740411	0.19766990	0.22047665	0.24467312	0.27050757	0.29915957	0.32974366	0.35911533	0.39015028	0.43476114	0.49069603	0.21029859	0.23197932	0.25552870	0.28160996	0.30882446	0.33740758	0.36856896	0.40124438	0.43208928	0.46413914	0.50928165	0.56443799	0.27965102	0.30456440	0.33115188	0.36005722	0.38964435	0.42014029	0.45274302	0.48624666	0.51726752	0.54890195	0.59246674	0.64420998	0.24560126	0.26517486	0.29272208	0.34190465	0.42201423	0.51874876	0.60346620	0.04278183	0.03835141	0.03355180	0.02926334	0.02572366	0.02278261	0.02051819	0.01871495	0.01660057	0.05875304	0.05260984	0.04593970	0.03996775	0.03503173	0.03092770	0.02776775	0.02525227	0.02230517	0.06823478	0.06094436	0.05302689	0.04594204	0.04009371	0.03524049	0.03151233	0.02855142	0.02509202	0.07137348	0.06355182	0.05507116	0.04749891	0.04126372	0.03610467	0.03215402	0.02902551	0.02538220	0.06669559	0.06043086	0.05312827	0.04595659	0.03740926	0.02978430
6	111.95279	1.02551	0.08008	0.15251480	0.16897299	0.18716474	0.20769366	0.22955083	0.25299063	0.27912263	0.30718865	0.33432324	0.36320040	0.40510472	0.45834789	0.19922443	0.21868870	0.23992666	0.26356057	0.28835883	0.31456844	0.34334402	0.37375703	0.40270522	0.43304377	0.47625077	0.52984018	0.26091025	0.28333730	0.30744897	0.33385722	0.36111098	0.38944940	0.42003386	0.45178725	0.48149572	0.51211270	0.55483730	0.60647386	0.34124158	0.36612211	0.39242718	0.42072360	0.44938426	0.47864814	0.50963560	0.54117928	0.57014027	0.59944533	0.63944849	0.68647740	0.30074311	0.32065712	0.34841553	0.39721915	0.47500574	0.56664016	0.64522605	0.05286313	0.04814383	0.04283933	0.03792490	0.03374674	0.03019109	0.02740170	0.02514784	0.02246794	0.07270272	0.06597402	0.05844886	0.05150946	0.04563107	0.04064399	0.03674268	0.03359833	0.02987001	0.08463041	0.07642975	0.06731904	0.05897322	0.05194506	0.04601458	0.04139784	0.03769258	0.03331881	0.08711442	0.07825665	0.06847423	0.05957225	0.05212486	0.04588186	0.04105161	0.03719581	0.03267010	0.08264455	0.07551273	0.06705291	0.05857611	0.04825467	0.03884113
7	226.06819	0.34796	0.03792	0.14079298	0.15899120	0.17917601	0.20202167	0.22638815	0.25252159	0.28162582	0.31280815	0.34284439	0.37466015	0.42050566	0.47812203	0.18237913	0.20374097	0.22710408	0.25315922	0.28052708	0.30943856	0.34113377	0.37454253	0.40622055	0.43926506	0.48600492	0.54337415	0.23588700	0.26041708	0.28682454	0.31579481	0.34571215	0.37679473	0.41028780	0.44497105	0.47730337	0.51048086	0.55649189	0.61158464	0.30714681	0.33453996	0.36349592	0.39467030	0.42624475	0.45843695	0.49245884	0.52699808	0.55859536	0.59043702	0.63365477	0.68404054	0.27326865	0.29509640	0.32554110	0.37912502	0.46429533	0.56370145	0.64769151	0.03280631	0.02920478	0.02538092	0.02202548	0.01929000	0.01703619	0.01531020	0.01394039	0.01233838	0.04414334	0.03914658	0.03383754	0.02918136	0.02539256	0.02228026	0.01990559	0.01802802	0.01584208	0.05062270	0.04472251	0.03845408	0.03296436	0.02850960	0.02486391	0.02209394	0.01991266	0.01738501	0.05179364	0.04559174	0.03901127	0.03326151	0.02861044	0.02481912	0.02195067	0.01970063	0.01710448	0.04937293	0.04428173	0.03846044	0.03286824	0.02635261	0.02067507
8	66.24736	0.22671	0.14703	0.35082430	0.38029439	0.41102874	0.44368473	0.47630649	0.50911633	0.54330582	0.57751915	0.60839204	0.63909698	0.68012791	0.72705756	0.41412274	0.44441208	0.47556268	0.50819857	0.54033032	0.57220328	0.60494737	0.63724728	0.66600557	0.69424418	0.73141817	0.77317005	0.48779825	0.51787036	0.54833941	0.57978631	0.61027214	0.64007505	0.67023736	0.69954668	0.72528264	0.75022215	0.78255300	0.81820289	0.57331532	0.60165775	0.62993196	0.65865394	0.68604554	0.71242080	0.73870051	0.76384102	0.78560338	0.80640792	0.83295837	0.86169499	0.53440696	0.55894982	0.59127519	0.64347032	0.71618499	0.78830451	0.84062455	0.02446921	0.02170471	0.01873435	0.01610238	0.01394519	0.01216628	0.01080734	0.00973316	0.00848444	0.03062175	0.02693807	0.02302448	0.01959998	0.01682693	0.01456574	0.01285552	0.01151504	0.00996969	0.03147505	0.02744335	0.02321790	0.01957259	0.01665931	0.01431113	0.01255311	0.01118664	0.00962390	0.02906172	0.02510756	0.02102114	0.01754840	0.01481114	0.01263070	0.01101470	0.00976893	0.00835519	0.02884340	0.02555080	0.02184136	0.01834124	0.01435331	0.01097486
9	93.03618	1.01521	0.06781	0.17307754	0.19112104	0.21094746	0.23317756	0.25668489	0.28171967	0.30942369	0.33894468	0.36726510	0.39717266	0.44015973	0.49410266	0.22406516	0.24501787	0.26773659	0.29284727	0.31900708	0.34645775	0.37636720	0.40772588	0.43734098	0.46813945	0.51158747	0.56482180	0.28804960	0.31166415	0.33689624	0.36434929	0.39248484	0.42153910	0.45266876	0.48474297	0.51453093	0.54500858	0.58716635	0.63755124	0.37158484	0.39719485	0.42410527	0.45286368	0.48179275	0.51113328	0.54198360	0.57315878	0.60158159	0.63014639	0.66882012	0.71382044	0.32974749	0.35048868	0.37922675	0.42926834	0.50781455	0.59849683	0.67471109	0.05143547	0.04672677	0.04147202	0.03663345	0.03253695	0.02906083	0.02633926	0.02414327	0.02153534	0.07076829	0.06403543	0.05655174	0.04969013	0.04390346	0.03901186	0.03519613	0.03212758	0.02849695	0.08096933	0.07294286	0.06406427	0.05596599	0.04917088	0.04345509	0.03901724	0.03546316	0.03127688	0.08329180	0.07458161	0.06501967	0.05636833	0.04916651	0.04315498	0.03852071	0.03483227	0.03051548	0.07868339	0.07173792	0.06352716	0.05533324	0.04540053	0.03638803
