id	norm	tau0	eta/s	N_pi_1020	N_pi_2030	N_pi_3040	N_pi_4050	N_K_1020	N_K_2030	N_K_3040	N_K_4050	N_p_1020	N_p_2030	N_p_3040	N_p_4050	v_2_1020	v_2_2030	v_2_3040	v_2_4050
0	127.19821	0.99587	0.14484	1437.41800	956.60100	617.26900	375.97500	229.04700	152.95600	99.78500	61.31500	71.97700	48.62900	31.83200	19.65800	0.06140	0.08240	0.09690	0.09900
1	196.49973	0.94955	0.12554	2098.59400	1386.77700	893.03000	549.06100	332.94100	221.96200	144.26600	88.87900	105.02400	70.09300	46.22500	28.31500	0.06570	0.08950	0.10390	0.11060
2	196.78500	0.90397	0.11039	1976.10300	1318.18900	845.62300	519.04700	314.82400	211.03000	136.42700	84.54000	98.98300	66.43400	43.38000	27.22400	0.06780	0.09210	0.10780	0.11720
3	319.64539	0.52603	0.15714	2006.73300	1330.95100	857.64200	524.83700	319.69400	214.59800	138.85400	85.76500	100.38900	68.19400	44.35400	27.62800	0.06630	0.08990	0.10420	0.10870
4	296.33902	0.37159	0.04497	1224.78600	819.80600	527.49400	321.03800	195.80200	131.78100	85.02800	52.72000	62.14400	41.77300	27.75000	16.84900	0.07550	0.10590	0.12560	0.13430
5	183.95125	0.63765	0.06035	1319.33600	878.39400	569.76100	347.01900	210.99100	141.04500	91.57800	56.38600	66.30300	44.89600	29.43500	18.29000	0.07060	0.09790	0.11540	0.12170
6	111.95279	1.02551	0.08008	1274.79900	848.90300	546.08500	332.51900	203.07800	136.21200	87.63000	54.19900	63.79600	42.95000	28.00500	17.12600	0.06650	0.09000	0.10500	0.11140
7	226.06819	0.34796	0.03792	890.75300	591.68200	380.54600	233.25200	143.15600	95.61200	61.91500	38.07000	45.26800	30.27700	19.98400	12.45600	0.07390	0.10060	0.11990	0.13020
8	66.24736	0.22671	0.14703	208.95000	138.33700	88.16600	52.89900	33.87800	22.57000	14.49800	8.81300	10.89300	7.34200	4.74800	2.90300	0.04480	0.05510	0.06300	0.05890
9	93.03618	1.01521	0.06781	1050.06900	696.56600	451.32300	273.97500	166.28700	112.60100	73.31900	44.72600	52.55000	35.64900	23.06500	14.44000	0.06620	0.08960	0.10550	0.11280
10	256.17856	0.51849	0.11478	1541.92900	1019.66200	654.09200	401.09800	246.02400	163.23500	106.26900	65.73800	77.74200	52.15100	34.20200	21.18400	0.06750	0.09380	0.10880	0.11600
11	213.50098	0.40138	0.17369	1057.00400	700.86300	452.64300	276.01900	169.70100	113.39300	73.36300	44.97600	53.61500	36.35300	23.54500	14.67600	0.05920	0.08210	0.09150	0.09520
